Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
0.1436428,0.08588505536317825,0.04925236105918884,0.04080187529325485,0.26404255628585815,0.28614142537117004,0.06279996782541275,0.05466745048761368,,,,,,,
0.082366325,0.17571456730365753,0.05625222995877266,0.12599271535873413,0.17994487285614014,0.3702490031719208,,,,,,,,,
0.4558935,0.17435982823371887,0.2134733349084854,0.14867812395095825,,,,,,,,,,,
0.15539074,0.15871557593345642,0.08200601488351822,0.5742638111114502,,,,,,,,,,,
0.42075583,0.06553418189287186,0.023747654631733894,0.46614310145378113,0.01456607598811388,,,,,,,,,,
0.61752635,0.24269674718379974,0.10483372956514359,0.021010512486100197,,,,,,,,,,,
0.9598138,,,,,,,,,,,,,,
0.5230936,0.462496280670166,,,,,,,,,,,,,
0.43730313,0.49554404616355896,,,,,,,,,,,,,
0.08980742,0.11739903688430786,0.011972160078585148,0.1610192060470581,0.2464197427034378,0.3712040185928345,,,,,,,,,
0.60961455,0.15408988296985626,0.21054233610630035,,,,,,,,,,,,
0.081778996,0.04417119920253754,0.06279153376817703,0.1937435418367386,0.4602090120315552,0.026707502081990242,0.12638701498508453,,,,,,,,
0.012296554,0.01101133693009615,0.013851462863385677,0.8643937110900879,0.014108579605817795,0.01682327315211296,,,,,,,,,
0.17727678,0.059500373899936676,0.35577592253685,0.40156474709510803,,,,,,,,,,,
0.18102965,0.2785029411315918,0.08607086539268494,0.09336830675601959,0.16150209307670593,0.19081899523735046,,,,,,,,,
0.21214652,0.5189813375473022,0.2281663566827774,,,,,,,,,,,,
0.04269668,0.25609514117240906,0.30922114849090576,0.08515679091215134,0.29824963212013245,,,,,,,,,,
0.4883515,0.03516409918665886,0.08364278078079224,0.01889977417886257,0.29021960496902466,0.07957860827445984,,,,,,,,,
0.49222168,0.20980097353458405,0.11098015308380127,0.11192099750041962,0.07171113044023514,,,,,,,,,,
0.03870783,0.42448946833610535,0.5167032480239868,,,,,,,,,,,,
0.21563564,0.16353197395801544,0.18122562766075134,0.31108981370925903,0.11455965042114258,,,,,,,,,,
0.08369534,0.09654151648283005,0.09633715450763702,0.12601566314697266,0.2853018045425415,0.16080375015735626,0.1484604924917221,,,,,,,,
0.68014103,0.06069429591298103,0.08950334042310715,0.15907907485961914,,,,,,,,,,,
0.054152127,0.9120334386825562,,,,,,,,,,,,,
0.09241664,0.11399242281913757,0.5631780624389648,0.21434926986694336,,,,,,,,,,,
0.026870167,0.0604393295943737,0.09734015166759491,0.6994717121124268,0.11273559182882309,,,,,,,,,,
0.11631108,0.10488773137331009,0.07073941081762314,0.26985663175582886,0.43153443932533264,,,,,,,,,,
0.2045678,0.35899412631988525,0.1336914747953415,0.1743132323026657,0.1139703094959259,,,,,,,,,,
0.63618237,0.11784659326076508,0.04960614815354347,0.11808063834905624,0.07069051265716553,,,,,,,,,,
0.053433795,0.05143959820270538,0.5909295678138733,0.07775386422872543,0.0841786190867424,0.1229519248008728,0.016129253432154655,,,,,,,,
0.3618009,0.09796071797609329,0.5370460748672485,,,,,,,,,,,,
0.085059054,0.06686673313379288,0.05619700253009796,0.04949445277452469,0.04051004350185394,0.07616902142763138,0.06706124544143677,0.05844234302639961,0.09581328928470612,0.05086049064993858,0.062006205320358276,0.052663516253232956,0.09759186953306198,0.024928707629442215,0.11633601784706116
